Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,HFE,Very Short-lived Compounds,Non-Fluorinated Chemicals,Minerals,Electronics Manufacturing,year,state,Waste/Metals/Pulp and Paper/Miscellaneous Combustion,Power Plants/Petroleum and Natural Gas Systems
Lead Production,79253.7,9.5,11.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,79274.52399999999,0.0
Military,49885.4,24.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,49939.2,0.0
Municipal Landfills,6684.600000000001,1631197.25,662.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,1638544.304,0.0
"Natural Gas Distribution, Natural Gas Local Distribution Companies",29217.2,1249207.0,16.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,0.0,1278440.292
Natural Gas Transmission Pipelines,68.2,59023.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,0.0,59091.7
Natural Gas Transmission/Compression,620864.3,53862.25,348.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,0.0,675075.5079999999
Other Chemicals,46874.2,22.25,26.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46922.972,0.0,0.0,2016,NY,0.0,0.0
Other Combustion,938334.9,460.75,590.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,939385.6900000002,0.0
Other Manufacturing,181873.0,85.75,102.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,182061.56,0.0
Other Metals,254465.8,119.75,142.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,254728.292,0.0
Other Minerals,223960.1,268.0,425.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224653.346,0.0,2016,NY,0.0,0.0
Other Paper Producers,370155.3,174.25,207.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,370537.256,0.0
Power Plants,29836101.09999999,26886.65,44099.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,0.0,29907086.98199999
Pulp and Paper Manufacturing,146382.2,331.75,1372.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,148086.836,0.0
Solid Waste Combustion,1093969.2,24742.75,38712.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,1157424.534,0.0
Underground Natural Gas Storage,30718.1,31027.0,16.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,0.0,61762.086
Universities,559137.2,313.5,505.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,559956.406,0.0
Aluminum Production,267024.2,23.25,27.714,0.0,25460.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,292536.071,0.0
Cement Production,830174.6,680.5,1162.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832017.598,0.0,2017,NY,0.0,0.0
"CO2 Capture, Ethanol Production",116201.9,55.0,65.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,116322.46,0.0
"CO2 Capture, Ethanol Production, Wastewater Treatment",78568.4,143.25,44.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,78756.648,0.0
"CO2 Capture, Food Processing",30263.5,22.5,35.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,30321.76,0.0
Electronics Manufacturing,112193.6,56.5,19314.274,1094.9657,70902.118197,782.04,11092.28,106005.0,175.2234,1.05e-05,0.0,0.0,321616.0013075001,2017,NY,0.0,0.0
Ferroalloy Production,186477.4,807.75,2.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,187287.832,0.0
Food Processing,263095.6,125.25,152.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,263373.426,0.0
Glass Production,356830.3,128.5,153.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357112.27,0.0,2017,NY,0.0,0.0
Hydrogen Production,30050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30050.0,0.0,0.0,2017,NY,0.0,0.0
"Industrial Landfills, Other Manufacturing",130223.8,1066.75,73.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,131363.56,0.0
"Industrial Landfills, Other Metals",10409.9,8508.5,5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,18924.36,0.0
"Industrial Landfills, Pulp and Paper Manufacturing",207971.6,51192.5,1571.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,260735.454,0.0
Iron and Steel Production,165123.4,40.25,61.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,165224.74,0.0
Lead Production,87839.6,9.75,11.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,87860.97200000001,0.0
Military,45577.0,22.0,27.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,45626.416,0.0
Municipal Landfills,8320.6,1730021.5,683.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,1739026.01,0.0
"Natural Gas Distribution, Natural Gas Local Distribution Companies",11190.6,1202689.5,5.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,0.0,1213885.166
Natural Gas Transmission Pipelines,42.2,36634.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,0.0,36676.45
Natural Gas Transmission/Compression,628461.8,67203.25,353.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,0.0,696018.4779999999
"Natural Gas Transmission/Compression, Underground Natural Gas Storage",24139.0,31124.75,13.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,0.0,55277.16
Other Chemicals,44601.3,21.0,25.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44647.33199999999,0.0,0.0,2017,NY,0.0,0.0
Other Combustion,860986.7,424.0,543.8499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,861954.55,0.0
Other Manufacturing,184764.5,87.0,104.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,184955.502,0.0
Other Metals,314191.8,148.25,176.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,314516.764,0.0
Other Minerals,221364.7,282.0,450.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222097.574,0.0,2017,NY,0.0,0.0
Other Paper Producers,364205.7999999999,172.0,205.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,364583.122,0.0
Power Plants,24187326.6,21607.025,35752.54999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,0.0,24244686.175
Pulp and Paper Manufacturing,121300.8,369.5,1666.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,123337.014,0.0
Solid Waste Combustion,1082143.2,25633.75,40311.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,1148088.9,0.0
Underground Natural Gas Storage,5480.4,26267.25,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,0.0,31750.63
Universities,530311.8,386.0,518.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NY,531216.618,0.0
Aluminum Production,263763.7,23.75,28.31,0.0,30198.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,294014.281,0.0
Cement Production,1280501.8,1112.75,1918.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283532.776,0.0,2018,NY,0.0,0.0
"CO2 Capture, Ethanol Production",115844.4,54.5,64.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,115963.864,0.0
"CO2 Capture, Ethanol Production, Wastewater Treatment",77680.6,113.75,44.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,77838.45400000001,0.0
"CO2 Capture, Food Processing",29046.0,21.75,34.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,29102.616,0.0
Electronics Manufacturing,104053.2,52.0,25779.086,1681.3081,102831.856394,1039.68,11689.12,117555.0,222.156,0.0010126,0.0,0.0,364903.4075066,2018,NY,0.0,0.0
Ferroalloy Production,179461.8,881.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,180343.098,0.0
Food Processing,263235.2,125.5,153.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,263514.17,0.0
Glass Production,302462.5,109.5,130.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302702.524,0.0,2018,NY,0.0,0.0
Hydrogen Production,34154.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34154.3,0.0,0.0,2018,NY,0.0,0.0
"Industrial Landfills, Other Manufacturing",133578.6,1009.75,75.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,134663.446,0.0
"Industrial Landfills, Other Metals",11464.8,8175.25,6.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,19646.606,0.0
"Industrial Landfills, Pulp and Paper Manufacturing",201169.1,50849.25,1674.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,253693.11,0.0
Iron and Steel Production,103770.7,22.0,26.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,103818.924,0.0
Lead Production,81310.6,9.25,11.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,81330.876,0.0
Military,37760.3,18.5,23.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,37802.044,0.0
Municipal Landfills,9256.699999999999,1772498.75,610.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,1782366.052,0.0
"Natural Gas Distribution, Natural Gas Local Distribution Companies",12918.2,1141072.0,5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,0.0,1153996.16
Natural Gas Transmission Pipelines,55.90000000000001,48477.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,0.0,48533.4
Natural Gas Transmission/Compression,693969.1000000001,65825.5,390.3800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,0.0,760184.98
Other Chemicals,30313.2,14.5,17.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30345.58,0.0,0.0,2018,NY,0.0,0.0
Other Combustion,809705.3,403.0,530.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,810638.74,0.0
Other Manufacturing,161845.4,76.5,91.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,162013.684,0.0
Other Metals,360849.2,169.75,202.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,361221.292,0.0
Other Minerals,253293.4,318.25,507.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254119.144,0.0,2018,NY,0.0,0.0
Other Paper Producers,372035.0,178.25,215.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,372428.7040000001,0.0
"Other Paper Producers, Wastewater Treatment",26570.9,24069.0,24.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,50664.038,0.0
Power Plants,26495225.1,21775.45,36093.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,0.0,26553094.30999999
Pulp and Paper Manufacturing,127295.1,368.25,1657.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,129321.124,0.0
Solid Waste Combustion,1144331.4,25071.75,39223.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,1208627.102,0.0
Underground Natural Gas Storage,6893.2,31175.75,3.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,0.0,38072.824
Universities,557166.7,397.75,534.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,NY,558098.466,0.0
Aluminum Production,275547.3,24.25,28.906,0.0,28466.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,304066.649,0.0
Cement Production,1262113.6,1113.0,1916.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265143.336,0.0,2019,NY,0.0,0.0
"CO2 Capture, Ethanol Production",156201.9,73.5,87.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,156363.012,0.0
"CO2 Capture, Ethanol Production, Wastewater Treatment",78605.0,114.0,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,78763.7,0.0
"CO2 Capture, Food Processing",29819.2,21.75,36.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,29877.306,0.0
Electronics Manufacturing,100728.0,49.5,26449.586,1613.357,120935.031394,1233.48,13395.36,104613.3,177.444,1.71e-05,0.0,0.0,369195.0584110999,2019,NY,0.0,0.0
Food Processing,295252.6,143.0,179.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,295574.698,0.0
Glass Production,313600.7,111.0,132.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313844.012,0.0,2019,NY,0.0,0.0
Hydrogen Production,32320.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32320.8,0.0,0.0,2019,NY,0.0,0.0
"Industrial Landfills, Other Manufacturing",127421.1,951.75,71.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,128444.37,0.0
"Industrial Landfills, Other Metals",9617.7,7854.25,5.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,17477.612,0.0
"Industrial Landfills, Pulp and Paper Manufacturing",173756.5,50914.75,1721.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,226393.094,0.0
Iron and Steel Production,100869.3,20.25,24.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,100913.688,0.0
Lead Production,112418.3,10.25,12.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,112440.768,0.0
Military,39181.1,19.0,23.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,39223.94,0.0
Municipal Landfills,12658.3,1782805.25,627.2900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,1796090.84,0.0
"Natural Gas Distribution, Natural Gas Local Distribution Companies",13943.4,1098084.0,6.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,0.0,1112033.658
Natural Gas Transmission Pipelines,32.0,27819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,0.0,27851.0
Natural Gas Transmission/Compression,753679.7,62611.25,424.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,0.0,816715.004
Other Chemicals,23571.8,11.0,13.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23595.912,0.0,0.0,2019,NY,0.0,0.0
Other Combustion,798688.3,403.0,540.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,799631.5739999999,0.0
Other Manufacturing,190399.6,89.75,107.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,190596.928,0.0
Other Metals,353429.0,166.75,199.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,353794.814,0.0
Other Minerals,243899.7,326.0,524.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244750.478,0.0,2019,NY,0.0,0.0
Other Paper Producers,365790.2,172.75,206.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,366169.762,0.0
"Other Paper Producers, Wastewater Treatment",27777.3,1014.5,15.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,28807.296,0.0
Power Plants,23513749.0,19485.85,31129.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,0.0,23564363.93000001
Pulp and Paper Manufacturing,144144.9,379.25,1660.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,146184.606,0.0
Solid Waste Combustion,1088527.1,25192.5,39414.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,1153134.57,0.0
Underground Natural Gas Storage,8179.3,25883.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,0.0,34066.77
Universities,550829.1,507.0,704.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,NY,552040.87,0.0
Aluminum Production,266836.5,19.75,23.542,0.0,27769.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,294649.17,0.0
Cement Production,1026545.4,423.5,689.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027658.174,0.0,2020,NY,0.0,0.0
"CO2 Capture, Ethanol Production",25029.6,11.75,14.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,25055.356,0.0
"CO2 Capture, Ethanol Production, Wastewater Treatment",74394.9,79.0,42.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,74515.91799999999,0.0
"CO2 Capture, Food Processing",25330.4,18.5,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,25378.7,0.0
Electronics Manufacturing,92772.0,45.0,24764.098,1579.4029,130786.682591,1279.08,14802.32,91420.0,223.56,1.41e-05,0.0,0.0,357672.1435051,2020,NY,0.0,0.0
Food Processing,282936.8,134.25,162.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,283233.46,0.0
Glass Production,320281.1,111.5,133.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320525.806,0.0,2020,NY,0.0,0.0
Hydrogen Production,28854.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28854.7,0.0,0.0,2020,NY,0.0,0.0
"Industrial Landfills, Other Manufacturing",129229.7,994.0,72.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,130296.412,0.0
"Industrial Landfills, Other Metals",6563.7,7544.75,3.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,14112.026,0.0
"Industrial Landfills, Pulp and Paper Manufacturing",146545.1,49696.5,1575.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,197817.424,0.0
Iron and Steel Production,87233.2,19.5,23.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,87275.944,0.0
Lead Production,104983.6,12.0,14.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,105009.904,0.0
Military,37613.2,18.25,22.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,37654.098,0.0
Municipal Landfills,9305.8,2205086.5,662.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,2215054.754,0.0
"Natural Gas Distribution, Natural Gas Local Distribution Companies",16441.5,1061971.75,9.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,0.0,1078422.488
Natural Gas Transmission Pipelines,18.8,16372.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,0.0,16391.05
Natural Gas Transmission/Compression,668557.5,56957.0,376.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,0.0,725890.576
Other Chemicals,19005.2,9.0,10.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19024.928,0.0,0.0,2020,NY,0.0,0.0
Other Combustion,865393.1,421.75,533.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,866348.27,0.0
Other Manufacturing,140483.9,66.0,78.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,140628.572,0.0
Other Metals,323206.7,153.25,184.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,323544.114,0.0
Other Minerals,224343.0,262.5,414.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225019.72,0.0,2020,NY,0.0,0.0
Other Paper Producers,360901.6,172.0,207.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,361280.71,0.0
"Other Paper Producers, Wastewater Treatment",24926.3,810.0,14.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,25750.306,0.0
Power Plants,25233592.4,19404.4,30799.49199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,0.0,25283796.292
Pulp and Paper Manufacturing,156098.4,225.0,830.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,157153.926,0.0
Solid Waste Combustion,1073394.7,25199.75,39424.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,1138018.658,0.0
Underground Natural Gas Storage,5217.4,15978.5,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,0.0,21198.88
Universities,478277.6,360.0,484.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,NY,479121.85,0.0
