Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,HFE,Very Short-lived Compounds,Non-Fluorinated Chemicals,Minerals,Electronics Manufacturing,year,state,Waste/Metals/Pulp and Paper/Miscellaneous Combustion,Power Plants/Petroleum and Natural Gas Systems
Glass Production,350909.4,125.25,150.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351185.14,0.0,2012,NY,0.0,0.0
"Industrial Landfills, Other Manufacturing",118944.8,1410.5,589.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,120944.744,0.0
"Industrial Landfills, Pulp and Paper Manufacturing",206649.3,65239.25,6924.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,278812.878,0.0
Iron and Steel Production,154245.1,34.0,60.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,154339.594,0.0
Lead Production,71615.8,8.25,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,71632.99,0.0
Military,34957.4,17.25,22.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,34996.702,0.0
Municipal Landfills,10496.277541,2168772.516,730.097616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,2179998.891157,0.0
"Natural Gas Distribution, Natural Gas Local Distribution Companies",15801.1,1507863.75,2.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,0.0,1523666.936
Natural Gas Transmission/Compression,322232.6,35619.0,179.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,0.0,358031.5920000001
Other Chemicals,165424.4,78.5,93.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165596.472,0.0,0.0,2012,NY,0.0,0.0
Other Combustion,905257.6000000001,444.0,668.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,906369.716,0.0
Other Manufacturing,165267.6,97.75,200.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,165566.202,0.0
Other Metals,251759.2,118.25,140.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,252018.404,0.0
Other Minerals,211690.6,205.25,313.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212209.346,0.0,2012,NY,0.0,0.0
Other Paper Producers,196819.0,93.0,111.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,197023.75,0.0
Other Petroleum and Natural Gas Systems,25642.3,12.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,0.0,25669.2
Power Plants,34077020.90000001,30447.29999999999,51478.00999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,0.0,34158946.21000001
Pulp and Paper Manufacturing,93833.3,2855.25,5004.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,101692.864,0.0
Solid Waste Combustion,1057165.4,24608.75,38450.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,1120225.09,0.0
Underground Natural Gas Storage,24831.2,4649.75,14.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,0.0,29494.956
Universities,524904.5,317.5,440.4440000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,525662.4439999999,0.0
"Aluminum Production, Industrial Landfills",471104.9,23220.75,39.634,0.0,594755.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,1089121.264,0.0
Cement Production,1342583.1,1484.5,2606.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346673.61,0.0,2013,NY,0.0,0.0
"CO2 Capture, Ethanol Production",97024.0,45.5,51.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,97120.756,0.0
"CO2 Capture, Ethanol Production, Wastewater Treatment",75323.8,71.0,42.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,75437.712,0.0
"CO2 Capture, Food Processing",35348.5,31.25,53.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,35433.092,0.0
Electronics Manufacturing,75483.9,36.5,13265.47,166.9061,21061.192,1356.6,3900.96,96979.0,1286.354,0.0007889,0.0,0.0,213536.8828889,2013,NY,0.0,0.0
Ferroalloy Production,213594.3,951.75,0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,214546.944,0.0
Food Processing,343398.9,578.25,963.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,344940.286,0.0
Glass Production,343381.6,122.5,143.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343647.736,0.0,2013,NY,0.0,0.0
"Industrial Landfills, Other Manufacturing",130107.4,1334.25,653.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,132095.462,0.0
"Industrial Landfills, Pulp and Paper Manufacturing",217657.4,51737.25,1782.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,271177.58400000003,0.0
Iron and Steel Production,142642.3,35.5,205.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,142883.718,0.0
