Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),Power Plants,Petroleum and Natural Gas Systems,Waste,Minerals,Pulp and Paper,Miscellaneous Combustion,year,state
Universities,63757.5,133.0,309.622,0.0,0.0,0.0,0.0,0.0,64200.122,2018,NH
Food Processing,14427.1,9.0,13.708,0.0,0.0,0.0,0.0,0.0,14449.808,2019,NH
Municipal Landfills,2184.4,365420.75,125.458,0.0,0.0,367730.608,0.0,0.0,0.0,2019,NH
Natural Gas Transmission Pipelines,0.1,581.0,0.0,0.0,581.1,0.0,0.0,0.0,0.0,2019,NH
Other Minerals,88565.8,41.5,49.468,0.0,0.0,0.0,88656.76800000001,0.0,0.0,2019,NH
Other Paper Producers,34487.9,20.0,28.31,0.0,0.0,0.0,0.0,34536.21,0.0,2019,NH
Power Plants,1788848.3,2384.25,6522.624,1797755.174,0.0,0.0,0.0,0.0,0.0,2019,NH
Solid Waste Combustion,67791.1,1407.5,2202.518,0.0,0.0,71401.118,0.0,0.0,0.0,2019,NH
Universities,61883.2,144.75,338.528,0.0,0.0,0.0,0.0,0.0,62366.478,2019,NH
"CO2 Capture, Food Processing",13375.6,8.5,12.814,0.0,0.0,0.0,0.0,0.0,13396.914,2020,NH
Municipal Landfills,1688.8,342212.5,123.968,0.0,0.0,344025.268,0.0,0.0,0.0,2020,NH
Natural Gas Transmission Pipelines,0.1,122.75,0.0,0.0,122.85,0.0,0.0,0.0,0.0,2020,NH
Other Minerals,80905.9,38.0,45.296,0.0,0.0,0.0,80989.196,0.0,0.0,2020,NH
Other Paper Producers,31016.6,16.25,21.158,0.0,0.0,0.0,0.0,31054.008,0.0,2020,NH
Power Plants,1567629.8,1137.5,1934.318,1570701.618,0.0,0.0,0.0,0.0,0.0,2020,NH
Solid Waste Combustion,78667.7,1407.75,2202.816,0.0,0.0,82278.266,0.0,0.0,0.0,2020,NH
Universities,53850.6,134.0,317.072,0.0,0.0,0.0,0.0,0.0,54301.672,2020,NH
