Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,HFE,Very Short-lived Compounds,Power Plants,Petroleum and Natural Gas Systems,Waste,Pulp and Paper,Miscellaneous Combustion,Electronics Manufacturing,year,state
Other Combustion,25282.5,12.75,17.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25312.534,0.0,2015,VT
Other Paper Producers,39285.3,20.0,26.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39332.12,0.0,0.0,2015,VT
Power Plants,1203.0,22.0,52.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.448,0.0,0.0,0.0,0.0,0.0,2015,VT
Universities,28793.7,14.25,18.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28826.426,0.0,2015,VT
Electronics Manufacturing,37661.9,18.75,13334.904,14437.2724,117020.797428,32362.32,42711.04,18818.62,578.7074,0.0,0.0,0.0,0.0,0.0,0.0,276944.311228,2016,VT
Food Processing,19361.7,7.5,9.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19378.438,0.0,2016,VT
Municipal Landfills,66.7,64975.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65042.45,0.0,0.0,0.0,2016,VT
"Natural Gas Distribution, Natural Gas Local Distribution Companies",4.5,3787.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3792.0,0.0,0.0,0.0,0.0,2016,VT
Other Combustion,27107.2,14.5,21.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27142.858,0.0,2016,VT
Other Paper Producers,37712.7,17.75,21.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37751.608,0.0,0.0,2016,VT
Universities,27365.7,13.25,16.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27395.34,0.0,2016,VT
Electronics Manufacturing,35164.9,16.5,11767.126,20360.7756,113595.4448,12063.48,47024.8,22926.23,550.7049,0.0,0.0,0.0,0.0,0.0,0.0,263469.9613,2017,VT
Food Processing,20686.9,12.25,20.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20719.414,0.0,2017,VT
Municipal Landfills,80.39999999999999,58126.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58206.65,0.0,0.0,0.0,2017,VT
Other Combustion,29000.9,14.5,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29034.77,0.0,2017,VT
Other Paper Producers,36297.0,17.25,20.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36334.812,0.0,0.0,2017,VT
Universities,27024.4,13.0,16.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27053.492,0.0,2017,VT
Electronics Manufacturing,39253.9,18.75,12775.558,18417.6642,105695.540327,12966.36,46524.28,23597.519,482.4866,0.2245,0.0,0.0,0.0,0.0,0.0,259732.282627,2018,VT
Food Processing,22722.6,12.75,18.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22754.124,0.0,2018,VT
Municipal Landfills,75.10000000000001,65015.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65090.398,0.0,0.0,0.0,2018,VT
"Natural Gas Distribution, Natural Gas Local Distribution Companies",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,VT
Other Combustion,26914.2,13.5,18.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26945.878,0.0,2018,VT
Other Paper Producers,37333.3,18.0,22.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37373.65,0.0,0.0,2018,VT
Universities,28359.8,13.5,16.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28389.988,0.0,2018,VT
Electronics Manufacturing,40257.5,19.25,11752.822,16716.5552,110173.807156,25162.08,45354.68,21723.61,543.7824,1.9609,0.0,0.0,0.0,0.0,0.0,271706.047656,2019,VT
Food Processing,21661.7,10.25,12.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21684.764,0.0,2019,VT
Municipal Landfills,86.5,73795.5,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73882.298,0.0,0.0,0.0,2019,VT
"Natural Gas Distribution, Natural Gas Local Distribution Companies",4.9,4042.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4047.65,0.0,0.0,0.0,0.0,2019,VT
Other Combustion,28618.3,13.75,16.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28649.036,0.0,2019,VT
Other Paper Producers,37746.1,17.75,21.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37785.306,0.0,0.0,2019,VT
Universities,29207.9,13.75,16.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29238.04,0.0,2019,VT
Electronics Manufacturing,37637.8,17.75,10168.952,19227.7216,108549.167642,30595.32,48713.84,26748.7,722.6601,0.0,0.0,0.0,0.0,0.0,0.0,282381.911342,2020,VT
Municipal Landfills,65.2,62780.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62845.7,0.0,0.0,0.0,2020,VT
"Natural Gas Distribution, Natural Gas Local Distribution Companies",4.9,4062.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4067.15,0.0,0.0,0.0,0.0,2020,VT
Other Combustion,26396.4,12.5,15.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26424.098,0.0,2020,VT
Other Paper Producers,36440.5,17.0,20.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36477.764,0.0,0.0,2020,VT
Universities,24583.6,11.5,14.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24609.106,0.0,2020,VT
