Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,Power Plants,Petroleum and Natural Gas Systems,Non-Fluorinated Chemicals,Waste,Minerals,Pulp and Paper,Miscellaneous Combustion,Electronics Manufacturing,year,state
"Natural Gas Distribution, Natural Gas Local Distribution Companies",978.3,604467.0,11.92,0.0,0.0,0.0,0.0,0.0,0.0,605457.22,0.0,0.0,0.0,0.0,0.0,0.0,2020,MA
Natural Gas Transmission Pipelines,1.8,1516.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1518.55,0.0,0.0,0.0,0.0,0.0,0.0,2020,MA
Natural Gas Transmission/Compression,50523.2,4346.5,28.31,0.0,0.0,0.0,0.0,0.0,0.0,54898.01,0.0,0.0,0.0,0.0,0.0,0.0,2020,MA
Other Chemicals,115183.4,54.5,64.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115302.864,0.0,0.0,0.0,0.0,0.0,2020,MA
Other Combustion,22266.4,10.5,12.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22289.714,0.0,2020,MA
Other Manufacturing,196712.0,96.5,122.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196930.68,0.0,2020,MA
Other Minerals,70504.0,32.25,38.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70574.692,0.0,0.0,0.0,2020,MA
Other Paper Producers,61917.5,29.25,35.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61981.914,0.0,0.0,2020,MA
Power Plants,6099299.600000001,2847.25,3434.748000000001,0.0,0.0,0.0,0.0,0.0,6105581.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,MA
Solid Waste Combustion,1122305.1,23058.25,36082.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181446.084,0.0,0.0,0.0,0.0,2020,MA
Universities,446019.2,214.0,263.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446496.9299999999,0.0,2020,MA
