Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,Power Plants,Petroleum and Natural Gas Systems,Non-Fluorinated Chemicals,Waste,Minerals,Pulp and Paper,Miscellaneous Combustion,Electronics Manufacturing,year,state
Glass Production,42608.7,18.0,21.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42648.156,0.0,0.0,0.0,2013,MA
Lime Manufacturing,153467.7,62.0,94.16799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153623.868,0.0,0.0,0.0,2013,MA
Liquefied Natural Gas Imp./Exp. Equipment,49241.8,529.75,27.118,0.0,0.0,0.0,0.0,0.0,0.0,49798.66800000001,0.0,0.0,0.0,0.0,0.0,0.0,2013,MA
Military,27508.4,14.0,19.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27542.366,0.0,2013,MA
Municipal Landfills,2189.7,404173.25,121.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406484.534,0.0,0.0,0.0,0.0,2013,MA
"Natural Gas Distribution, Natural Gas Local Distribution Companies",3267.3,782493.75,1.49,0.0,0.0,0.0,0.0,0.0,0.0,785762.5399999999,0.0,0.0,0.0,0.0,0.0,0.0,2013,MA
Natural Gas Transmission/Compression,71498.0,9204.0,41.72,0.0,0.0,0.0,0.0,0.0,0.0,80743.72,0.0,0.0,0.0,0.0,0.0,0.0,2013,MA
Other Chemicals,164310.4,77.25,92.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164479.732,0.0,0.0,0.0,0.0,0.0,2013,MA
Other Combustion,26871.5,15.75,25.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26912.58,0.0,2013,MA
Other Manufacturing,385112.7,535.0,875.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386522.9259999999,0.0,2013,MA
Other Minerals,41723.5,19.75,24.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41767.686,0.0,0.0,0.0,2013,MA
Other Paper Producers,46569.1,28.75,43.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46641.06,0.0,0.0,2013,MA
Power Plants,12826767.7,15291.95,24568.014,0.0,0.0,0.0,0.0,0.0,12866627.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,MA
